step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
800.0,557,1,268,629,1186,0,6723.0,12.070017953321365,5.338909586584148,268,25658.0,0.2870643001453942,268,25658.0
805.0,564,2,278,640,1204,0,6920.0,12.26950354609929,5.115466128668762,278,26451.0,0.28171651117546975,278,26451.0
810.0,575,3,283,644,1219,0,6133.0,10.66608695652174,5.0250145604107495,283,26979.0,0.2797314364114408,283,26979.0
815.0,578,1,279,657,1235,0,6330.0,10.951557093425606,4.9794718764756265,279,27928.0,0.28511160273781105,279,27928.0
820.0,580,0,280,669,1249,0,6937.0,11.960344827586207,4.837459862225752,280,28455.0,0.2705212935203537,280,28455.0
825.0,571,0,282,690,1261,0,8022.0,14.049036777583188,4.962565447952146,282,29154.0,0.2797232040864874,282,29154.0
830.0,576,1,287,698,1274,0,9302.0,16.149305555555557,5.1728404336104,287,30027.0,0.286935667133914,287,30027.0
835.0,593,2,303,699,1292,0,10380.0,17.504215851602023,5.0805461784671735,303,31330.0,0.27354872703903443,303,31330.0
840.0,605,0,302,703,1308,0,10036.0,16.588429752066116,5.005672868394686,302,31168.0,0.2710773853125437,302,31168.0
845.0,618,1,313,704,1322,0,10021.0,16.215210355987054,4.829216668637452,313,31811.0,0.2519997219722713,313,31811.0
850.0,624,1,316,710,1334,0,10019.0,16.056089743589745,4.833748367770501,316,31764.0,0.2447755213808884,316,31764.0
855.0,628,0,323,716,1344,0,10241.0,16.30732484076433,4.913911334696883,323,31434.0,0.2388987797037061,323,31434.0
860.0,640,0,311,719,1359,0,10211.0,15.9546875,5.220772816157755,311,31223.0,0.25076901660342954,311,31223.0
865.0,655,2,290,720,1375,0,10073.0,15.378625954198473,5.6100428574569365,290,31118.0,0.27117846379994476,290,31118.0
870.0,663,0,282,726,1389,0,10171.0,15.340874811463047,5.761657992587235,282,30978.0,0.27734063833284517,282,30978.0
875.0,664,2,277,738,1402,0,10540.0,15.873493975903614,5.626236849053493,277,32112.0,0.2762844273756327,277,32112.0
880.0,661,2,283,753,1414,0,10433.0,15.783661119515886,5.272926958650331,283,31488.0,0.2601756329763085,283,31488.0
885.0,663,1,290,764,1427,0,10735.0,16.19155354449472,4.825425914650158,290,32056.0,0.23354691716880943,290,32056.0
890.0,663,2,303,777,1440,0,11190.0,16.877828054298643,4.563451319650077,303,31584.0,0.22311854608013854,303,31584.0
895.0,668,0,315,784,1452,0,11781.0,17.63622754491018,4.613861665058367,315,31706.0,0.23005378742918003,315,31706.0
900.0,678,0,324,789,1467,0,12126.0,17.884955752212388,4.575580552972815,324,33137.0,0.23054819142844354,324,33137.0
905.0,685,0,317,794,1479,0,11336.0,16.548905109489052,4.51225431593833,317,33659.0,0.2284876842300683,317,33659.0
910.0,682,1,313,804,1486,0,11036.0,16.181818181818183,4.376334314629714,313,34641.0,0.22062892600942174,313,34641.0
915.0,688,1,325,818,1506,0,11121.0,16.164244186046513,4.344100398244159,325,35240.0,0.21980346660948857,325,35240.0
920.0,682,0,338,835,1517,0,11413.0,16.734604105571847,4.3335463657366216,338,35821.0,0.2202450950204852,338,35821.0
925.0,679,1,346,854,1533,0,12009.0,17.686303387334316,4.2956064137856345,346,36604.0,0.22003509687447137,346,36604.0
930.0,682,2,353,865,1547,0,13144.0,19.272727272727273,4.4560865887488585,353,37229.0,0.22387190036393304,353,37229.0
935.0,692,1,356,871,1563,0,14619.0,21.1257225433526,4.591384542976409,356,38115.0,0.22455894622017272,356,38115.0
940.0,702,0,373,874,1576,0,16330.0,23.262108262108264,4.505874047935827,373,39881.0,0.2175572962865957,373,39881.0
945.0,702,0,401,879,1581,0,17963.0,25.58831908831909,4.335314094884969,401,41220.0,0.20858974314548662,401,41220.0
950.0,710,0,426,883,1593,0,19291.0,27.17042253521127,4.100188170387293,426,43304.0,0.1934719123238579,426,43304.0
955.0,716,1,423,888,1604,0,18987.0,26.518156424581004,3.897230063129937,423,43478.0,0.18075915059768127,423,43478.0
960.0,727,1,417,888,1615,0,18910.0,26.011004126547455,3.8376032156097675,417,44447.0,0.1706665874081257,417,44447.0
965.0,738,2,424,892,1630,0,18918.0,25.634146341463413,3.8870645662332346,424,44609.0,0.16764271586633153,424,44609.0
970.0,745,0,425,903,1648,0,19081.0,25.612080536912753,4.032512321537102,425,44658.0,0.1744357409653794,425,44658.0
975.0,737,2,432,921,1658,0,19546.0,26.521031207598373,4.039190657765987,432,45211.0,0.1767893371008391,432,45211.0
980.0,741,1,380,932,1673,0,18439.0,24.883940620782727,4.339642566601666,380,44697.0,0.19709830556714933,380,44697.0
985.0,737,0,379,947,1684,0,19083.0,25.89280868385346,4.655888147785347,379,44813.0,0.22155099946060108,379,44813.0
990.0,740,3,375,961,1701,0,19283.0,26.058108108108108,4.476417000686392,375,45912.0,0.21589766299770466,375,45912.0
995.0,746,0,369,972,1718,0,19443.0,26.06300268096515,4.334176866157073,369,47121.0,0.21537429839585934,369,47121.0
1000.0,753,0,375,977,1730,0,19926.0,26.46215139442231,4.148518700925327,375,48086.0,0.20391702393295832,375,48086.0
1005.0,770,0,387,978,1748,0,20841.0,27.066233766233765,4.072656725775237,387,48761.0,0.19565889962200922,387,48761.0
1010.0,780,0,393,980,1760,0,21897.0,28.073076923076922,4.049089322113818,393,49514.0,0.18986397447202943,393,49514.0
1015.0,789,1,405,986,1775,0,23306.0,29.53865652724968,4.057715971610009,405,49815.0,0.19390327581577238,405,49815.0
1020.0,795,2,418,996,1791,0,24412.0,30.706918238993712,3.869673947114176,418,51893.0,0.18795264019662514,418,51893.0
1025.0,798,0,411,1007,1805,0,23845.0,29.88095238095238,3.8095723732415605,411,52383.0,0.19353475236777673,411,52383.0
