step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
535.0,364,0,115,223,587,0,4626.0,12.708791208791208,6.813092277660026,115,11362.0,0.3766355844835376,115,11362.0
540.0,369,0,98,226,595,0,3971.0,10.761517615176151,7.096950407265632,98,11763.0,0.3882293050900868,98,11763.0
545.0,377,0,79,229,606,0,3475.0,9.217506631299734,7.170177590702106,79,11935.0,0.3983407602607242,79,11935.0
550.0,378,1,89,239,617,0,3510.0,9.285714285714286,7.099806098532508,89,12249.0,0.39903431257769634,89,12249.0
555.0,382,0,102,247,629,0,3846.0,10.06806282722513,7.082419486541983,102,12628.0,0.3893560297342651,102,12628.0
560.0,385,0,122,250,635,0,4408.0,11.449350649350649,7.213120430864719,122,13169.0,0.37349491640889726,122,13169.0
565.0,393,1,151,253,646,0,4800.0,12.213740458015268,6.952640543276328,151,13859.0,0.33840339391894386,151,13859.0
570.0,400,1,165,261,661,0,4642.0,11.605,6.717429882597567,165,14124.0,0.3323240063030783,165,14124.0
575.0,410,1,170,264,674,0,4993.0,12.178048780487805,6.662128278041587,170,14980.0,0.3341093667620552,170,14980.0
580.0,413,0,157,273,686,0,4812.0,11.65133171912833,6.731304057288328,157,14043.0,0.3608451504983288,157,14043.0
585.0,411,0,155,282,693,0,4813.0,11.710462287104622,6.603921693726612,155,13662.0,0.3492976947903996,155,13662.0
590.0,408,0,143,295,703,0,4782.0,11.720588235294118,6.7554524207681075,143,13110.0,0.3659507127572024,143,13110.0
595.0,403,1,137,308,711,0,4846.0,12.024813895781637,6.881077009785257,137,12116.0,0.36380138300046744,137,12116.0
600.0,407,2,123,312,719,0,4648.0,11.420147420147421,6.935980888872917,123,12649.0,0.3605086211223977,123,12649.0
605.0,416,1,109,314,730,0,4277.0,10.28125,6.741548892820614,109,12849.0,0.35135228743087166,109,12849.0
610.0,413,0,110,326,739,0,4354.0,10.542372881355933,6.711462635174827,110,13212.0,0.35952765887383736,110,13212.0
615.0,417,2,118,338,755,0,4660.0,11.175059952038369,6.810736687743761,118,13622.0,0.36952079618387024,118,13622.0
620.0,417,0,135,349,766,0,5233.0,12.549160671462829,6.949530290150214,135,14142.0,0.3701091276468961,135,14142.0
625.0,420,0,156,355,775,0,5962.0,14.195238095238095,6.922529300426266,156,14814.0,0.3519018271047184,156,14814.0
630.0,427,0,180,357,784,0,6704.0,15.70023419203747,6.641870974961095,180,15670.0,0.3253314108499039,180,15670.0
635.0,434,4,199,360,794,0,7113.0,16.389400921658986,6.103996313476178,199,15999.0,0.2830008757075326,199,15999.0
640.0,443,1,207,368,811,0,7609.0,17.17607223476298,6.051675232072522,207,17029.0,0.2931864741800923,207,17029.0
645.0,443,1,194,377,820,0,7403.0,16.711060948081265,5.8379997325563044,194,16423.0,0.2902331086251895,194,16423.0
650.0,440,0,190,387,827,0,7462.0,16.95909090909091,5.916410192837295,190,16655.0,0.3036060073959025,190,16655.0
655.0,440,0,175,395,835,0,7507.0,17.061363636363637,6.224989715584204,175,16167.0,0.3257420494189672,175,16167.0
660.0,438,0,159,406,844,0,7366.0,16.817351598173516,6.484966990193401,159,15417.0,0.33695565107486014,159,15417.0
665.0,439,0,153,413,852,0,7064.0,16.091116173120728,6.2843918293786185,153,16083.0,0.3138764201931255,153,16083.0
670.0,443,1,133,422,865,0,6564.0,14.817155756207676,6.045842303725379,133,16360.0,0.30990094663881046,133,16360.0
675.0,442,1,123,430,872,0,6606.0,14.945701357466064,6.220762421662716,123,16785.0,0.32547555901107733,123,16785.0
680.0,442,0,140,441,883,0,6901.0,15.613122171945701,6.416783601608431,140,17186.0,0.3395479650741152,140,17186.0
685.0,440,0,147,454,894,0,7427.0,16.879545454545454,6.537011512512538,147,17658.0,0.33887448401337056,147,17658.0
690.0,447,0,171,461,908,0,8228.0,18.40715883668904,6.5350709354232785,171,18407.0,0.32096474708290046,171,18407.0
695.0,454,0,193,464,918,0,9027.0,19.883259911894275,6.315825277288429,193,19321.0,0.2912840845625059,193,19321.0
700.0,460,0,213,468,928,0,9567.0,20.797826086956523,6.121299980240302,213,19816.0,0.2816109266042595,213,19816.0
705.0,467,2,223,474,941,0,9997.0,21.406852248394003,5.973195384026642,223,20762.0,0.2814874338017549,223,20762.0
710.0,470,0,214,483,953,0,9819.0,20.891489361702128,6.0072951367398595,214,20450.0,0.29707624491122586,214,20450.0
715.0,473,0,207,493,966,0,9931.0,20.995771670190276,6.020309821661485,207,20595.0,0.30559833875362563,207,20595.0
